EI_offline,order,participant
21.38707229231497,2,2
17.21631124869914,2,2
19.528164949956746,2,2
16.227607605206135,2,2
15.440458167024959,2,2
17.052043714262357,2,2
19.828764050773184,2,2
22.75067238027566,2,2
20.515544542197716,2,2
21.604439294158947,2,2
23.475203975921072,2,2
21.774884239744058,2,2
22.684289130343572,2,2
22.812227807468823,2,2
21.170425307985713,2,2
14.168487666515711,2,2
11.74458315126531,2,2
6.808410223116742,2,2
12.115366917533752,2,2
12.748439750568853,2,2
20.39010555457046,2,2
20.39640231426167,2,2
20.098020159893604,2,2
19.03667321688744,2,2
19.432061893794746,2,2
14.491477751353163,2,2
11.47708973593813,2,2
9.630568452704987,2,2
8.969332477414378,2,2
6.138408981260566,2,2
6.694997061005226,2,2
5.927291925649809,2,2
3.4725945493080905,2,2
3.168971109254917,2,2
5.228001397771486,2,2
9.781572576323253,2,2
6.8546279188866786,2,2
11.243280109935762,2,2
10.701798324325347,2,2
13.464598235724528,2,2
14.736968821606963,2,2
15.23716544554918,2,2
16.382366719641354,2,2
11.748814287117137,2,2
20.42462399397919,2,2
26.37142408945899,2,2
22.41564793843378,2,2
41.2129715602706,2,2
46.558187707470346,2,2
44.496569549312085,2,2
37.954621615679784,2,2
36.83132755341699,2,2
30.154176745222305,2,2
27.976139679433643,2,2
25.341691997954186,2,2
18.857274814218307,2,2
27.75202271174544,2,2
25.031256041977763,2,2
24.79707116929986,2,2
25.486242838595196,2,2
27.232629594025294,2,2
18.27005468281811,2,2
16.475600962143726,2,2
13.492398440716336,2,2
12.33614009343106,2,2
16.059934774379528,2,2
13.139469827793196,2,2
10.620986109798066,2,2
12.242001808618824,2,2
18.94490185643406,2,2
23.466153001325498,2,2
23.01427282522887,2,2
21.583264754512545,2,2
23.937978240171905,2,2
22.960633753767826,2,2
24.043229830753454,2,2
22.383433706581723,2,2
25.782756572933994,2,2
20.56254363365481,2,2
19.343005345941215,2,2
18.18224684468134,2,2
30.118684263201306,2,2
33.36565903122589,2,2
32.10573088306846,2,2
30.194916075679906,2,2
27.431305120521294,2,2
36.050413845311304,2,2
29.919618889383386,2,2
23.040958991033918,2,2
23.172266378322227,2,2
18.335693485434085,2,2
24.756093878405963,2,2
23.34327930948079,2,2
22.49271993412128,2,2
28.358693334568013,2,2
21.956589538147973,2,2
24.94056229273115,2,2
26.286048863088407,2,2
21.718709109582818,2,2
17.78767814018743,2,2
17.07478624421757,2,2
14.33153522105134,2,2
12.853434081942169,2,2
18.53947176672636,2,2
23.824878680901392,2,2
20.71303483282666,2,2
18.346852832075047,2,2
19.02695029530026,2,2
12.541748400302428,2,2
11.69275210527497,2,2
16.340300015751566,2,2
24.031057987962427,2,2
20.385096661863436,2,2
14.979162402613705,2,2
11.550802747613034,2,2
10.888067884122952,2,2
7.167658177988246,2,2
3.5302705858234806,2,2
1.8877810986347037,2,2
5.166303908978306,2,2
15.160905045439458,2,2
20.719706920211355,2,2
25.055992994906312,2,2
24.548731685898733,2,2
22.14818068194497,2,2
22.736430230596817,2,2
17.448960980371343,2,2
12.021807267747892,2,2
10.97652808579619,2,2
15.980502642153333,2,2
13.511188711861276,2,2
11.747272252860688,2,2
15.547898646255941,2,2
30.33508016208164,2,2
22.684897919421203,2,2
20.56409758532971,2,2
18.543610363460246,2,2
18.317771090802417,2,2
13.577497402076943,2,2
8.562904356530689,2,2
12.208308798883266,2,2
13.045338885992813,2,2
9.921057222690443,2,2
6.898036478565352,2,2
6.514454449353928,2,2
19.77764087294708,2,2
14.718428817539078,2,2
14.593907522551891,2,2
12.904377122223645,2,2
18.107072263888714,2,2
14.329504195544349,2,2
11.160465000736632,2,2
7.258560460900202,2,2
8.807965656058341,2,2
6.342937675231362,2,2
9.540460960471151,2,2
15.716751853563352,2,2
33.77659090407622,2,2
31.725247073681086,2,2
24.015856714155436,2,2
22.52745323646825,2,2
23.2586464986681,2,2
30.59137393515796,2,2
23.574868779996656,2,2
30.12305316410956,2,2
28.654999365446933,2,2
35.55969838785023,2,2
41.81494452945167,2,2
34.46548855783958,2,2
26.82363865872775,2,2
19.64347926509202,2,2
17.361738276433112,2,2
15.327202105387155,2,2
16.832353704543213,2,2
27.0645665398486,2,2
42.48835042178696,2,2
45.575578684719304,2,2
53.01154471970858,2,2
57.43457710913492,2,2
50.37516981536343,2,2
41.84740377306538,2,2
31.301884357685676,2,2
25.72255173242291,2,2
29.752715013590947,2,2
30.90048368932899,2,2
30.10866090825185,2,2
25.928743741648347,2,2
21.210967769306404,2,2
22.201119565245158,2,2
28.48792616748913,2,2
39.08136256107179,2,2
48.29084934490184,2,2
57.91147551294834,2,2
58.96943418883707,2,2
48.089130289982606,2,2
38.31224794960176,2,2
28.54967482504686,2,2
26.342596895544656,2,2
24.517206824688337,2,2
20.025817188641568,2,2
16.664121984481593,2,2
11.683923473832424,2,2
12.000089121614105,2,2
13.071175033440655,2,2
10.497557743521718,2,2
11.623823320642227,2,2
19.863728724095893,2,2
29.388800174549722,2,2
37.86978986759336,2,2
46.49708984623154,2,2
8.112440349576275,3,2
7.932619927943933,3,2
15.656469288898453,3,2
12.273069391317204,3,2
9.81953270906006,3,2
7.929641992715269,3,2
14.64053927597225,3,2
16.00585488645077,3,2
18.224923834263265,3,2
18.891535742586388,3,2
17.982305927984385,3,2
13.72824711649212,3,2
10.774968904216317,3,2
9.246919858731003,3,2
2.8693499201911536,3,2
8.844227435382109,3,2
14.364408961844397,3,2
13.993094991179019,3,2
14.33030765294764,3,2
12.540850905240381,3,2
10.274042827677274,3,2
8.526616418872933,3,2
11.080996775896189,3,2
13.14057849795098,3,2
19.726173726394066,3,2
24.74990889613678,3,2
24.735742657391118,3,2
31.363342331507816,3,2
34.926419757052244,3,2
30.649724644447595,3,2
25.8988551106913,3,2
23.949110521948967,3,2
19.527133871659625,3,2
13.607768438410675,3,2
13.773273464920788,3,2
14.573673605728587,3,2
15.438373684009646,3,2
19.29148595393974,3,2
19.93865709884119,3,2
25.675057866840007,3,2
20.03366880269965,3,2
17.581181195037505,3,2
19.107677951048842,3,2
16.784242057151474,3,2
10.679360694943727,3,2
12.070182116894772,3,2
8.002031268166833,3,2
11.927950876830034,3,2
14.925131446865333,3,2
18.27022453711644,3,2
16.314758875718553,3,2
14.533431671169053,3,2
15.25599007839206,3,2
12.25986583331869,3,2
17.41897411530934,3,2
29.489079379326565,3,2
33.87634090346562,3,2
25.330995014849407,3,2
25.404377122806483,3,2
18.77289038962209,3,2
16.26198579636725,3,2
17.453313531206728,3,2
15.749892184853682,3,2
25.58600023784997,3,2
19.813828097210475,3,2
15.156525193917709,3,2
11.673226736780853,3,2
10.837666481242419,3,2
8.68768892054197,3,2
5.408280396527331,3,2
6.585633080501255,3,2
2.379951331020289,3,2
0.3973170193969485,3,2
0.07308305744898076,3,2
1.5763013406161115,3,2
6.666405247637522,3,2
4.357692188865532,3,2
5.7112671673404805,3,2
7.094983022176747,3,2
