EI_online,EI_offline,order,participant
45,37.46326584947557,2,4
41,37.308040998574924,2,4
63,49.380054449346694,3,4
52,48.33033172917455,3,4
53,50.93618544931059,3,4
48,48.26347689788159,3,4
60,49.72127268477099,3,4
41,47.39114650436006,3,4
52,45.02987047022982,3,4
59,50.208563375192504,3,4
48,43.169046297264636,3,4
57,43.18328859746907,3,4
46,39.94827099568196,3,4
41,41.5157617884541,3,4
43,46.19505464226899,3,4
36,42.76614005953179,3,4
33,38.35198828865009,3,4
42,33.92077503386556,3,4
37,37.68657127805072,3,4
48,40.699860771449984,3,4
37,46.89555832934311,3,4
60,52.999928323037594,3,4
45,56.93250727981381,3,4
47,50.44907625646404,3,4
38,48.38798463648342,3,4
35,61.39516300829624,3,4
44,60.51020655296537,3,4
43,57.10966978222351,3,4
47,51.9602524838644,3,4
44,45.358331895299415,3,4
39,43.13920648884292,3,4
42,43.9763928552185,3,4
41,41.69748854717307,3,4
43,47.45061433567548,3,4
48,40.43412185559376,3,4
41,46.206307713224234,3,4
39,45.07584564175906,3,4
43,44.77741683287019,3,4
34,41.00349960618052,3,4
26,32.79298506185116,3,4
27,36.39784279287799,3,4
28,37.756701937889275,3,4
28,54.62168981680935,3,4
40,60.433025050263545,3,4
33,58.54069511719552,3,4
38,56.13552498693169,3,4
42,56.80433374827331,3,4
38,49.17895612464083,3,4
50,51.55656992563469,3,4
49,55.84609274994641,3,4
54,50.392124587945155,3,4
48,43.60479613571291,3,4
42,44.28028995158507,3,4
41,39.56441208596878,3,4
38,37.599657823334034,3,4
35,36.67410051038102,3,4
29,35.52835766799783,3,4
29,30.466664343064732,3,4
30,39.15190915615852,3,4
33,33.83511307161706,3,4
26,36.36703794782234,3,4
31,34.89049297357765,3,4
32,35.3350543090262,3,4
29,32.306369130190966,3,4
41,41.83642559274689,3,4
46,45.5491908617118,3,4
49,51.51504698867877,3,4
45,50.85927080070696,3,4
48,57.14958095306946,3,4
41,52.36577534427765,3,4
41,48.38803082342029,3,4
36,47.086881722886446,3,4
38,45.693328623696935,3,4
33,44.625731862526926,3,4
28,39.30540181548953,3,4
32,35.356605568185984,3,4
35,38.75365135457908,3,4
37,35.02587873245893,3,4
33,29.23353429224157,3,4
33,31.010331260621232,3,4
36,32.559603134168796,3,4
38,31.139947670785272,3,4
41,29.84503602364383,3,4
39,33.26970137327774,3,4
36,38.91451123391476,3,4
44,50.618012271914814,3,4
39,43.887787381021894,3,4
49,45.50454842211643,3,4
41,46.48532831355038,3,4
41,39.94976096838924,3,4
42,37.399575283414705,3,4
40,38.37783931922979,3,4
43,35.33469670455974,3,4
35,31.299076734008423,3,4
36,28.537526136408005,3,4
31,28.895085607922745,3,4
35,28.47943460101477,3,4
39,22.17186171164729,3,4
37,23.361983541362495,3,4
34,23.352773703039162,3,4
42,22.440596113410493,3,4
38,23.38335764164301,3,4
46,27.251870433734343,3,4
40,23.036476927413947,3,4
42,20.128156006815598,3,4
33,19.14199131867656,3,4
28,15.240832592422862,3,4
24,18.793259158531406,3,4
26,13.632840039854077,3,4
31,18.77765599968236,3,4
27,23.78025414965273,3,4
25,23.690420024129054,3,4
21,22.56613337400668,3,4
24,24.97094014954727,3,4
26,24.05581788889945,3,4
21,25.352054324032846,3,4
32,29.73026297680747,3,4
46,35.601371075159946,3,4
46,36.643118297589965,3,4
50,31.548828880981745,3,4
48,33.48264074336234,3,4
41,33.785263919225116,3,4
36,28.05045569633225,3,4
30,19.967950616360746,3,4
27,34.17629586504628,3,4
34,37.78799898313093,3,4
30,34.044261435122955,3,4
26,33.89951162693183,3,4
30,33.77981608041076,3,4
29,34.48343617945502,3,4
38,38.939720154338595,3,4
37,36.221234942701486,3,4
38,32.61996180873612,3,4
38,31.773934527980657,3,4
42,29.338043545504966,3,4
37,23.551191313626163,3,4
30,23.065318151372498,3,4
39,24.687054889796574,3,4
36,28.2563323030507,3,4
33,33.11287710587247,3,4
41,41.14872220361374,3,4
50,52.71667365148297,3,4
72,59.06116921884915,3,4
82,62.73794857878033,3,4
76,63.07480596563313,3,4
83,63.672619858284165,3,4
69,56.294972372312614,3,4
61,55.287983593228965,3,4
60,52.27401544236805,3,4
49,47.02724500520804,3,4
52,48.56882097582245,3,4
50,45.27001622732211,3,4
43,43.12429461571238,3,4
39,47.0742803686179,3,4
38,51.328248121153116,3,4
41,51.67086025172451,3,4
30,49.54881428284326,3,4
24,44.90613438855588,3,4
24,43.00092735324383,3,4
28,40.11419779608985,3,4
22,38.56515396543523,3,4
20,46.45444544972265,3,4
25,44.554417383179825,3,4
17,40.783416183225015,3,4
26,40.23133768595923,3,4
24,38.55477099977076,3,4
32,37.52595032362693,3,4
38,44.80786452619261,3,4
39,43.00060510358703,3,4
39,41.82336528215241,3,4
38,45.405259336004164,3,4
34,38.27282542325675,3,4
30,37.629164074911714,3,4
34,34.12749979518041,3,4
26,35.697219245516706,3,4
25,35.34020841484362,3,4
21,30.272848225033194,3,4
25,31.89061708106672,3,4
31,30.19824953927559,3,4
37,42.465444455723215,3,4
37,42.974327864428716,3,4
43,50.891965688282866,3,4
40,51.40591074859861,3,4
43,52.10902280194912,3,4
40,48.576267830025316,3,4
34,45.78426777012014,3,4
44,42.601603728305555,3,4
29,40.70635651747027,3,4
32,39.47473535308262,3,4
32,38.70612232233979,3,4
32,42.11158301043211,3,4
28,36.516517200319726,3,4
31,37.382731366306196,3,4
26,32.18465826303672,3,4
22,33.31136138894334,3,4
17,27.576036138408067,3,4
15,29.16991343720336,3,4
16,29.581066683451258,3,4
18,34.19752987441733,3,4
17,32.67325089583041,3,4
20,36.11398134585605,3,4
32,44.69879245965747,3,4
44,47.49673210477704,3,4
45,52.426564635728546,3,4
42,43.30266633086298,3,4
36,38.730752733186044,3,4
51,42.96288584735423,3,4
41,41.83464797807514,3,4
40,45.328929128866186,3,4
43,48.381753346389075,3,4
